data,prezzo_eur_mwh
2020-01-02,12.8000
2020-01-03,12.7554
2020-01-04,12.9427
2020-01-05,13.0886
2020-01-06,13.5000
2020-01-07,14.2662
2020-01-08,13.9782
2020-01-09,14.1911
2020-01-10,14.1515
2020-01-11,13.5139
2020-01-12,13.2000
2020-01-13,14.5538
2020-01-14,14.6923
2020-01-15,13.7411
2020-01-16,13.5395
2020-01-17,13.4306
2020-01-18,13.0170
2020-01-19,12.9394
2020-01-20,13.3492
2020-01-21,13.1422
2020-01-22,13.2623
2020-01-23,13.1638
2020-01-24,13.1322
2020-01-25,12.7657
2020-01-26,12.2036
2020-01-27,13.2167
2020-01-28,12.8024
2020-01-29,12.2003
2020-01-30,11.9776
2020-01-31,11.4540
2020-02-01,11.0835
2020-02-02,10.5000
2020-02-03,11.4069
2020-02-04,10.7417
2020-02-05,11.4378
2020-02-06,11.5550
2020-02-07,10.9541
2020-02-08,10.5804
2020-02-09,10.3977
2020-02-10,10.8408
2020-02-11,10.3560
2020-02-12,10.3974
2020-02-13,10.4820
2020-02-14,10.3545
2020-02-15,10.1754
2020-02-16,10.0563
2020-02-17,10.4947
2020-02-18,10.6722
2020-02-19,11.0605
2020-02-20,10.9346
2020-02-21,11.0272
2020-02-22,10.9976
2020-02-23,10.7000
2020-02-24,11.0000
2020-02-25,10.3649
2020-02-26,10.3531
2020-02-27,10.6220
2020-02-28,10.5096
2020-02-29,10.1425
2020-03-01,10.1545
2020-03-02,10.5170
2020-03-03,11.1087
2020-03-04,12.0575
2020-03-05,11.9960
2020-03-06,10.5697
2020-03-07,10.3530
2020-03-08,10.1101
2020-03-09,10.5000
2020-03-10,10.3869
2020-03-11,10.7885
2020-03-12,10.7847
2020-03-13,10.3121
2020-03-14,10.1988
2020-03-15,9.9942
2020-03-16,9.9668
2020-03-17,9.4560
2020-03-18,9.5367
2020-03-19,9.3591
2020-03-20,9.5707
2020-03-21,9.3613
2020-03-22,9.5852
2020-03-23,10.1386
2020-03-24,9.8638
2020-03-25,9.6609
2020-03-26,9.6088
2020-03-27,9.4218
2020-03-28,9.0934
2020-03-29,8.7364
2020-03-30,8.9002
2020-03-31,8.6726
2020-04-01,9.5480
2020-04-02,9.6070
2020-04-03,9.2545
2020-04-04,8.6910
2020-04-05,9.0410
2020-04-06,8.8842
2020-04-07,9.2578
2020-04-08,9.4455
2020-04-09,9.0359
2020-04-10,8.5661
2020-04-11,8.1826
2020-04-12,8.2986
2020-04-13,8.5500
2020-04-14,8.6620
2020-04-15,8.5597
2020-04-16,8.5466
2020-04-17,8.8876
2020-04-18,8.5652
2020-04-19,8.5354
2020-04-20,9.1333
2020-04-21,8.7008
2020-04-22,8.6335
2020-04-23,8.2802
2020-04-24,7.9317
2020-04-25,8.0355
2020-04-26,8.3000
2020-04-27,8.7702
2020-04-28,8.4527
2020-04-29,8.3333
2020-04-30,8.1977
2020-05-01,7.4754
2020-05-02,6.8500
2020-05-03,6.6871
2020-05-04,7.6227
2020-05-05,7.4879
2020-05-06,7.3751
2020-05-07,7.4208
2020-05-08,7.0368
2020-05-09,6.9988
2020-05-10,7.0600
2020-05-11,7.2795
2020-05-12,7.3733
2020-05-13,7.0569
2020-05-14,6.6907
2020-05-15,6.7370
2020-05-16,6.4966
2020-05-17,6.2120
2020-05-18,6.7083
2020-05-19,6.5826
2020-05-20,6.3126
2020-05-21,6.1604
2020-05-22,5.2949
2020-05-23,5.3819
2020-05-24,5.9500
2020-05-25,6.0000
2020-05-26,6.7765
2020-05-27,6.2476
2020-05-28,6.0982
2020-05-29,6.0735
2020-05-30,5.8585
2020-05-31,5.5196
2020-06-01,5.2252
2020-06-02,4.6450
2020-06-03,5.0564
2020-06-04,5.7512
2020-06-05,5.7361
2020-06-06,5.7115
2020-06-07,5.6881
2020-06-08,5.9000
2020-06-09,6.3047
2020-06-10,6.0671
2020-06-11,5.7976
2020-06-12,5.7481
2020-06-13,5.6905
2020-06-14,5.7600
2020-06-15,6.2709
2020-06-16,6.9356
2020-06-17,6.8102
2020-06-18,6.8414
2020-06-19,6.3653
2020-06-20,5.8500
2020-06-21,5.5000
2020-06-22,6.4000
2020-06-23,6.1988
2020-06-24,6.6324
2020-06-25,7.0317
2020-06-26,6.4130
2020-06-27,5.5562
2020-06-28,6.5000
2020-06-29,6.1436
2020-06-30,6.5631
2020-07-01,7.3857
2020-07-02,6.7963
2020-07-03,6.4575
2020-07-04,6.1770
2020-07-05,5.6000
2020-07-06,6.3000
2020-07-07,6.4155
2020-07-08,6.8186
2020-07-09,6.9014
2020-07-10,6.7126
2020-07-11,5.8605
2020-07-12,5.4400
2020-07-13,6.4000
2020-07-14,6.5406
2020-07-15,6.4480
2020-07-16,6.8175
2020-07-17,6.4567
2020-07-18,6.1500
2020-07-19,6.1862
2020-07-20,6.6391
2020-07-21,6.3366
2020-07-22,6.3847
2020-07-23,6.3438
2020-07-24,6.6014
2020-07-25,6.2618
2020-07-26,5.7892
2020-07-27,6.5050
2020-07-28,6.6344
2020-07-29,6.7620
2020-07-30,6.7947
2020-07-31,6.6237
2020-08-01,6.2314
2020-08-02,6.5000
2020-08-03,6.8278
2020-08-04,8.0074
2020-08-05,8.8011
2020-08-06,8.3041
2020-08-07,8.8126
2020-08-08,7.9336
2020-08-09,7.7500
2020-08-10,8.5000
2020-08-11,8.3967
2020-08-12,8.0796
2020-08-13,8.0388
2020-08-14,8.0632
2020-08-15,7.1317
2020-08-16,7.2167
2020-08-17,8.0000
2020-08-18,8.4551
2020-08-19,9.0077
2020-08-20,8.5470
2020-08-21,8.0620
2020-08-22,7.3021
2020-08-23,6.7805
2020-08-24,7.6000
2020-08-25,8.5647
2020-08-26,9.4352
2020-08-27,10.0964
2020-08-28,9.8564
2020-08-29,10.4825
2020-08-30,9.8000
2020-08-31,11.1419
2020-09-01,11.7116
2020-09-02,11.7721
2020-09-03,11.9931
2020-09-04,12.2986
2020-09-05,12.0911
2020-09-06,11.2281
2020-09-07,12.5446
2020-09-08,12.3121
2020-09-09,11.4890
2020-09-10,11.6742
2020-09-11,11.3702
2020-09-12,10.5259
2020-09-13,10.3000
2020-09-14,10.5237
2020-09-15,11.0294
2020-09-16,11.0196
2020-09-17,11.5323
2020-09-18,11.2790
2020-09-19,10.8302
2020-09-20,10.4827
2020-09-21,11.2500
2020-09-22,11.6263
2020-09-23,11.8064
2020-09-24,11.9713
